,dt(ms),inh Sis - M,inh Sis - lb,inh Sis - ub,inh Dis - M,inh Dis - lb,inh Dis - ub
0,-49.0,0.01016154041389622,0.004952533906637413,0.017180358357807526,0.008079580088768093,0.003515647494672869,0.017696396160055777
1,-30.0,0.028668637773409788,0.01757754520835525,0.053928290169405306,0.026710204573625534,0.012666982567404192,0.05713394203862481
2,-20.0,0.050140611349762665,0.03120443657687203,0.09252653671764562,0.04726087464554326,0.02320968409570056,0.10018687036980127
3,-15.0,0.0640855680002586,0.04051347539762698,0.1194993458929296,0.0626177804186893,0.030786903286197424,0.13019209907880946
4,-10.0,0.07833832602656492,0.05141046097829233,0.14633750988815136,0.08145320759995371,0.03995459001275334,0.16471557002094694
5,-7.5,0.08650494409225788,0.05714403086352812,0.16069025367731885,0.09249202199528804,0.04507377749869207,0.18317103805198426
6,-5.0,0.09480857975166558,0.06286584268688532,0.17416964234275328,0.10265709726219527,0.0498951827961895,0.20205064190134894
7,-3.5,0.09864068515316808,0.06617128935190422,0.18061617888537,0.10907678210432675,0.05304378050393109,0.21332360190464977
8,-2.0,0.10140648493061048,0.06876396418813595,0.18376735821772275,0.1153317454686011,0.05617377255020442,0.22359031965426712
9,-1.0,0.10246554595289255,0.06970181417187206,0.18542538956124444,0.11846424031665145,0.05780105132962723,0.22888916257286498
10,-0.5,0.10237988006282148,0.06982929470810006,0.184004124917752,0.11867786064119508,0.05775003074619365,0.22946859799126199
11,0.0,0.10220256931668777,0.06965198396196634,0.17880878173408657,0.11827827517981206,0.05735044528481063,0.22667234813835638
12,0.5,0.09804174070912612,0.06703207293891358,0.169350519796664,0.1154923492082111,0.055527564447594005,0.21383994322727728
13,1.0,0.09070896960405089,0.06299033936689231,0.15826336165616522,0.10916578447981247,0.05315456561219367,0.19607382240640744
14,2.0,0.07709378057862344,0.055056944712439056,0.1379876370661624,0.09183335516323225,0.04835257861358063,0.16045550655010316
15,2.75,0.0700027325984955,0.04961154519009621,0.12616915886512806,0.08209219306053855,0.04458301077012634,0.13669693527833027
16,3.5,0.0621376620170874,0.045680212741887063,0.11432891491275377,0.07521253351209417,0.04004197982480321,0.12032045329005153
17,5.0,0.04830784201353115,0.03796587737100688,0.09077928639100538,0.06284074299168155,0.03369633861422315,0.09563920023666185
18,7.5,0.033685108904378314,0.0238302981148817,0.060653942838071184,0.04222158131621654,0.023146316343696294,0.06352869065639419
19,10.0,0.019031915690224117,0.0110354901186068,0.03769983174206692,0.024614584387463563,0.01064649060122337,0.03582945675366314
20,15.0,0.0024016951899881542,0.0024013752657458063,0.004829484862870004,0.0019469300364250218,0.0019456331380999052,0.00507116998696703
21,20.0,0.001836015031989935,0.0018357107540563412,0.0018101821056914946,0.0018297636880712266,0.0018437234062967836,0.0018297636880730307
